t,cbhIdx5,cbhIdx1
2020-10-27,51.4284,-0.381
2020-10-26,44.3671,0.2373
2020-10-23,47.4269,3.8177
2020-10-22,49.6584,2.6098
2020-10-21,47.2079,1.668
2020-10-20,45.074,1.1575
2020-10-19,42.2437,0.4961
2020-10-16,41.9298,3.4438
2020-10-15,42.5655,3.4438
2020-10-14,41.2334,3.5804
2020-10-13,42.4626,4.9392
2020-10-12,40.3893,7.2615
2020-10-09,37.7041,7.1465
2020-10-08,36.7466,5.3994
2020-10-07,34.5863,3.9615
2020-10-06,31.5133,3.7961
2020-10-05,31.1704,4.6589
2020-10-02,27.277,4.3569
2020-10-01,27.3957,5.5935
2020-09-30,27.0317,5.8379
2020-09-29,28.0446,6.9811
2020-09-28,25.5704,6.3556
2020-09-25,22.6821,4.968
2020-09-24,19.2583,3.6811
2020-09-23,18.5566,3.2497
2020-09-22,17.8945,5.1046
2020-09-21,16.8526,3.5445
2020-09-18,15.7078,5.4353
2020-09-17,18.037,6.9883
2020-09-16,21.8433,6.8876
2020-09-15,22.4077,6.7654
2020-09-14,21.8248,5.1334
2020-09-11,19.5089,3.6954
2020-09-10,19.1026,4.8674
2020-09-09,20.986,6.7654
2020-09-08,18.5988,4.7523
2020-09-04,19.8729,6.4059
2020-09-03,24.299,8.4909
2020-09-02,30.3289,11.985
2020-09-01,29.3609,9.5334
2020-08-31,28.1792,8.455
2020-08-28,27.765,9.6197
2020-08-27,30.8855,8.7066
2020-08-26,31.7322,6.3268
2020-08-25,27.7967,4.5151
2020-08-24,29.1129,1.8549
2020-08-21,31.8456,1.9484
2020-08-20,32.2492,1.5458
2020-08-19,29.746,2.5307
2020-08-18,31.632,3.3935
2020-08-17,32.0435,3.7242
2020-08-14,30.9646,3.4438
2020-08-13,31.0332,4.3928
2020-08-12,29.9201,3.4007
2020-08-11,27.3483,2.8471
2020-08-10,27.3166,5.083
2020-08-07,34.0508,6.2478
2020-08-06,32.8506,5.687
2020-08-05,34.5493,5.3275
2020-08-04,34.1748,5.8308
2020-08-03,34.9714,7.0746
2020-07-31,36.2929,5.1909
2020-07-30,36.2533,4.3928
2020-07-29,36.4749,4.0549
2020-07-28,34.4201,2.5451
2020-07-27,37.4271,3.1275
2020-07-24,33.4204,3.3144
2020-07-23,34.3093,4.2419
2020-07-22,39.0388,4.0837
2020-07-21,40.7111,3.0987
2020-07-20,40.8694,1.7686
2020-07-17,40.4711,0.9922
2020-07-16,40.0016,-0.1726
2020-07-15,40.2917,0.9634
2020-07-14,37.7489,-1.9196
2020-07-13,36.5224,-2.5954
2020-07-10,41.7082,-1.5889
2020-07-09,44.71,-2.3726
2020-07-08,43.6048,-1.6464
2020-07-07,40.6346,-1.8621
2020-07-06,37.3717,-1.1216
2020-07-02,32.3837,-1.6608
2020-07-01,33.4731,-1.6033
2020-06-30,32.1305,-3.5948
2020-06-29,31.5212,-5.6942
2020-06-26,29.2052,-6.1687
2020-06-25,33.8292,-4.1772
2020-06-24,33.2568,-4.8817
2020-06-23,37.0367,-0.8124
2020-06-22,36.918,-0.1007
2020-06-19,37.2372,-2.9405
2020-06-18,32.1147,0.6183
2020-06-17,34.2592,-0.3595
2020-06-16,31.6214,1.0712
2020-06-15,32.1859,-1.1863
2020-06-12,29.986,-1.4451
2020-06-11,27.1557,-3.4941
2020-06-10,33.7303,1.5314
2020-06-09,31.8694,1.6392
2020-06-08,28.8201,2.502
2020-06-05,30.2788,2.8615
2020-06-04,31.6346,-2.0275
2020-06-03,37.4561,0.3451
2020-06-02,36.0977,-0.0935
2020-06-01,37.1053,-0.1582
2020-05-29,34.1537,-0.1869
2020-05-28,27.5382,-0.5177
2020-05-27,23.5156,-0.7621
2020-05-26,24.1091,-1.7902
2020-05-22,27.2243,-2.1065
2020-05-21,24.7474,-1.8621
2020-05-20,26.0663,-0.7046
2020-05-19,26.2325,-2.6242
2020-05-18,29.9517,-1.9771
2020-05-15,28.7357,-4.9392
2020-05-14,30.1997,-6.7007
2020-05-13,33.1381,-8.3399
2020-05-12,31.2891,-8.038
2020-05-11,33.2199,-7.8007
2020-05-08,27.7518,-7.8079
2020-05-07,26.8102,-6.938
2020-05-06,24.3307,-5.1621
2020-05-05,27.4722,-5.1334
2020-05-04,20.564,-7.5563
2020-05-01,18.6437,-7.0458
2020-04-30,20.0206,-5.1765
2020-04-29,20.469,-3.451
2020-04-28,16.4385,-7.1608
2020-04-27,16.4807,-8.2321
2020-04-24,11.0548,-9.6053
2020-04-23,10.2002,-12.8766
2020-04-22,11.9042,-11.8916
2020-04-21,8.2773,-15.5439
2020-04-20,13.5739,-11.8413
2020-04-17,13.3655,-8.002
2020-04-16,15.1381,-11.5752
2020-04-15,8.9921,-13.6099
2020-04-14,4.9062,-11.0001
2020-04-13,1.762,-11.1367
2020-04-09,6.3939,-10.0439
2020-04-08,4.3549,-10.2955
2020-04-07,0.6304,-13.6243
2020-04-06,5.2544,-11.5537
2020-04-03,2.1524,-17.1616
2020-04-02,-8.3933,-15.8027
2020-04-01,-11.9016,-17.6361
2020-03-31,-12.2761,-12.5458
2020-03-30,-7.3303,-9.9216
2020-03-27,-9.583,-13.653
2020-03-26,-6.9426,-11.1079
2020-03-25,-12.8723,-13.4589
2020-03-24,-13.8192,-14.3289
2020-03-23,-25.7973,-26.3427
2020-03-20,-18.0634,-26.0766
2020-03-19,-16.6126,-24.344
2020-03-18,-19.4535,-25.9904
2020-03-17,-12.1627,-18.0674
2020-03-16,-17.8893,-22.1008
2020-03-13,-9.5065,-6.6072
2020-03-12,-16.9819,-14.8321
2020-03-11,-11.9912,-4.4072
2020-03-10,-5.7899,1.3013
2020-03-09,-7.0692,-6.5066
2020-03-06,-4.4182,0.5895
2020-03-05,-0.4168,2.6314
2020-03-04,-1.464,7.7935
2020-03-03,-7.2617,2.8758
2020-03-02,-8.0425,6.8445
2020-02-28,-14.4496,0.4529
2020-02-27,-12.073,-0.1582
2020-02-26,-10.77,3.4582
2020-02-25,-12.6375,4.0046
2020-02-24,-9.8125,8.3615
2020-02-21,-10.2925,11.3883
2020-02-20,-9.1029,12.7184
2020-02-19,-9.8731,13.0851
2020-02-18,-8.4224,11.906
2020-02-14,-8.8154,13.1929
2020-02-13,-10.8043,10.9497
2020-02-12,-11.5033,6.3772
2020-02-11,-9.7149,7.4916
2020-02-10,-9.9865,7.8295
2020-02-07,-9.1847,5.2987
2020-02-06,-8.8207,5.9314
2020-02-05,-9.8283,5.0543
2020-02-04,-6.3596,5.9889
2020-02-03,-6.2277,4.7883
2020-01-31,-6.5759,3.2856
2020-01-30,-5.5261,6.0464
2020-01-29,-7.1404,6.4706
2020-01-28,-5.075,6.3772
2020-01-27,-5.6052,5.2484
2020-01-24,-5.2333,6.3484
2020-01-23,-3.1205,7.1321
2020-01-22,-2.2975,6.8301
2020-01-21,-2.221,6.1327
2020-01-17,-2.6509,5.7517
2020-01-16,-2.4004,5.1406
2020-01-15,-2.9042,3.8752
2020-01-14,-3.2972,2.4157
