t,cbhIdx5,cbhIdx1
2016-12-05,1000,1000
2016-12-06,1003.581941,1010.182908
2016-12-07,1016.626527,1019.225167
2016-12-08,1023.019756,1020.387399
2016-12-09,1023.738298,1025.567065
2016-12-12,1019.155671,1017.405349
2016-12-13,1029.608357,1018.100402
2016-12-14,1027.018875,1005.585737
2016-12-15,1024.332845,1017.690053
2016-12-16,1016.754933,1015.482977
2016-12-19,1017.937225,1019.700885
2016-12-20,1021.51878,1019.121221
2016-12-21,1022.234932,1017.48478
2016-12-22,1014.836597,1006.720833
2016-12-23,1017.659224,1013.997568
2016-12-26,1017.659224,1013.997568
2016-12-27,1023.288424,1021.419117
2016-12-28,1012.764324,1006.619449
2016-12-29,1011.860086,1002.105646
2016-12-30,1003.784495,999.0071238
2017-01-02,1003.784495,999.0071238
2017-01-03,1014.746014,1006.228558
2017-01-04,1028.052936,1023.257134
2017-01-05,1029.474506,1014.535874
2017-01-06,1030.56224,1017.594186
2017-01-09,1035.314514,1017.378696
2017-01-10,1036.544419,1024.651568
2017-01-11,1031.828003,1029.756828
2017-01-12,1029.691975,1021.797248
2017-01-13,1032.613421,1028.117482
2017-01-16,1032.613421,1028.117482
2017-01-17,1027.557298,1016.459978
2017-01-18,1030.355405,1023.035395
2017-01-19,1026.601572,1011.064751
2017-01-20,1027.01239,1013.631282
2017-01-23,1025.24756,1004.427099
2017-01-24,1033.626447,1023.535046
2017-01-25,1042.24958,1036.883433
2017-01-26,1036.188118,1029.022732
2017-01-27,1033.450109,1029.206853
2017-01-30,1029.003161,1022.563469
2017-01-31,1031.706448,1030.828067
2017-02-01,1029.954111,1032.567234
2017-02-02,1028.709979,1041.847649
2017-02-03,1035.246253,1050.679136
2017-02-06,1034.790869,1048.388153
2017-02-07,1033.529057,1042.294815
2017-02-08,1034.35556,1048.518265
2017-02-09,1041.189897,1058.324301
2017-02-10,1045.194831,1060.482499
2017-02-13,1049.406691,1065.983697
2017-02-14,1051.836128,1067.152091
2017-02-15,1061.553946,1065.840304
2017-02-16,1059.849457,1056.630011
2017-02-17,1062.890684,1059.282846
2017-02-20,1062.890684,1059.282846
2017-02-21,1067.871178,1068.097411
2017-02-22,1066.382409,1056.497429
2017-02-23,1068.018196,1040.554823
2017-02-24,1069.346326,1044.286378
2017-02-27,1071.680482,1047.678987
2017-02-28,1070.106849,1034.241395
2017-03-01,1082.225787,1054.770467
2017-03-02,1077.974743,1039.108771
2017-03-03,1078.269217,1039.548902
2017-03-06,1074.612538,1033.398976
2017-03-07,1069.975831,1019.145436
2017-03-08,1066.523509,1011.768815
2017-03-09,1067.221483,1009.904559
2017-03-10,1070.984284,1014.729672
2017-03-13,1071.070037,1020.676517
2017-03-14,1065.767353,1012.564237
2017-03-15,1076.713431,1030.453022
2017-03-16,1073.068263,1030.33633
2017-03-17,1074.344934,1028.754839
2017-03-20,1073.614357,1026.717299
2017-03-21,1063.257853,1001.615021
2017-03-22,1065.001682,1008.01056
2017-03-23,1064.357666,1006.314374
2017-03-24,1064.431086,1007.439374
2017-03-27,1064.269829,1005.873551
2017-03-28,1069.5831,1018.976057
2017-03-29,1071.967406,1025.622894
2017-03-30,1072.698476,1026.247752
2017-03-31,1071.280392,1022.274931
2017-04-03,1068.032037,1016.912916
2017-04-04,1070.239326,1019.784016
2017-04-05,1068.248665,1012.830618
2017-04-06,1068.83604,1025.367233
2017-04-07,1068.177999,1023.588941
2017-04-10,1069.40424,1031.025907
2017-04-11,1066.532033,1032.060625
2017-04-12,1062.948093,1016.464718
2017-04-13,1056.245222,1000.881719
2017-04-14,1056.245222,1000.881719
2017-04-17,1063.862421,1004.523904
2017-04-18,1062.985353,1001.275346
2017-04-19,1063.190965,991.3846755
2017-04-20,1070.991575,1001.717372
2017-04-21,1069.030742,999.0796709
2017-04-24,1081.207582,1012.186269
2017-04-25,1088.640469,1024.933384
2017-04-26,1086.542777,1021.554384
2017-04-27,1089.94513,1027.139488
2017-04-28,1086.584433,1020.311662
2017-05-01,1092.487174,1021.405846
2017-05-02,1095.826074,1016.005072
2017-05-03,1093.088091,1009.807572
2017-05-04,1093.649643,996.3067978
2017-05-05,1099.784217,1010.54697
2017-05-08,1101.693816,1008.643513
2017-05-09,1102.806212,1009.634556
2017-05-10,1101.735088,1018.049269
2017-05-11,1101.292401,1014.44267
2017-05-12,1103.259493,1004.93914
2017-05-15,1107.403126,1015.319136
2017-05-16,1107.47516,1018.035143
2017-05-17,1085.516127,991.4233756
2017-05-18,1087.639303,992.2109813
2017-05-19,1092.831566,1011.666466
2017-05-22,1098.176956,1018.237085
2017-05-23,1097.990812,1023.368675
2017-05-24,1100.507531,1035.505235
2017-05-25,1104.873168,1029.159447
2017-05-26,1104.621388,1031.310377
2017-05-29,1104.621388,1031.310377
2017-05-30,1104.079675,1026.032229
2017-05-31,1105.983622,1017.629572
2017-06-01,1112.674504,1028.336414
2017-06-02,1121.341266,1025.120029
2017-06-05,1116.721303,1029.974588
2017-06-06,1115.276852,1025.656494
2017-06-07,1116.489869,1018.769599
2017-06-08,1117.066234,1027.816694
2017-06-09,1105.149202,1038.436162
2017-06-12,1101.120027,1040.537642
2017-06-13,1107.413274,1047.739988
2017-06-14,1104.499342,1029.745371
2017-06-15,1102.002709,1016.654742
2017-06-16,1102.285403,1019.332103
2017-06-19,1112.803388,1027.277009
2017-06-20,1102.804156,1011.182848
2017-06-21,1104.021672,1002.877127
2017-06-22,1102.046352,1011.84263
2017-06-23,1107.365596,1024.786037
2017-06-26,1105.548498,1030.825083
2017-06-27,1091.799978,1022.226502
2017-06-28,1102.211726,1037.581264
2017-06-29,1085.601018,1030.814843
2017-06-30,1089.090638,1036.488261
2017-07-03,1087.294817,1048.466503
2017-07-04,1087.294817,1048.466503
2017-07-05,1092.82043,1037.049125
2017-07-06,1085.116251,1017.339892
2017-07-07,1093.982967,1017.852061
2017-07-10,1092.917602,1022.275814
2017-07-11,1091.867901,1026.890285
2017-07-12,1099.750269,1043.005618
2017-07-13,1096.708878,1055.887041
2017-07-14,1104.241176,1061.055211
2017-07-17,1104.188118,1063.498593
2017-07-18,1103.945669,1061.231789
2017-07-19,1109.896864,1083.046132
2017-07-20,1111.012626,1082.807783
2017-07-21,1110.504703,1076.873771
2017-07-24,1108.164767,1072.993364
2017-07-25,1109.409159,1086.858024
2017-07-26,1110.748684,1084.400005
2017-07-27,1113.975503,1086.168073
2017-07-28,1107.360217,1084.173967
2017-07-31,1104.549751,1084.122924
2017-08-01,1107.33433,1076.150551
2017-08-02,1105.847799,1062.001079
2017-08-03,1104.471581,1052.875322
2017-08-04,1104.126141,1055.842821
2017-08-07,1104.997394,1053.057634
2017-08-08,1101.262684,1044.664309
2017-08-09,1099.131657,1040.786476
2017-08-10,1087.98021,1017.16255
2017-08-11,1089.770511,1021.748283
2017-08-14,1098.457545,1030.841469
